"ActivityType","Username","RepositoryID","RepositoryName","RepositoryURL","Timestamp"
"WatchEvent","chanakya1310",337359166,"GDGVIT/vitty-extension","https://api.github.com/repos/GDGVIT/vitty-extension","2021-08-05T19:17:08Z"
"WatchEvent","chanakya1310",337358437,"GDGVIT/vitty-backend","https://api.github.com/repos/GDGVIT/vitty-backend","2021-08-03T04:23:45Z"
"WatchEvent","chanakya1310",337359431,"GDGVIT/vitty-app","https://api.github.com/repos/GDGVIT/vitty-app","2021-08-03T04:23:43Z"
"PublicEvent","chanakya1310",370282314,"chanakya1310/TensorFlow-Certification","https://api.github.com/repos/chanakya1310/TensorFlow-Certification","2021-07-30T12:04:32Z"
"PushEvent","chanakya1310",280330964,"chanakya1310/chanakya1310","https://api.github.com/repos/chanakya1310/chanakya1310","2021-07-27T14:49:09Z"
"WatchEvent","chanakya1310",336365328,"GDGVIT/DigiNotes","https://api.github.com/repos/GDGVIT/DigiNotes","2021-07-25T09:56:26Z"
"PushEvent","chanakya1310",387148175,"chanakya1310/airbender-backend","https://api.github.com/repos/chanakya1310/airbender-backend","2021-07-23T15:19:30Z"
"WatchEvent","chanakya1310",336591499,"mayankkumar2/securum-exire","https://api.github.com/repos/mayankkumar2/securum-exire","2021-07-23T06:40:10Z"
"WatchEvent","chanakya1310",382050439,"VisheshBansal/Portfolio-Website","https://api.github.com/repos/VisheshBansal/Portfolio-Website","2021-07-20T18:36:23Z"
"PushEvent","chanakya1310",387148175,"chanakya1310/airbender-backend","https://api.github.com/repos/chanakya1310/airbender-backend","2021-07-20T17:06:48Z"
"WatchEvent","chanakya1310",286663639,"khangich/machine-learning-interview","https://api.github.com/repos/khangich/machine-learning-interview","2021-07-20T06:48:22Z"
"IssueCommentEvent","iamyajat",357531038,"iamyajat/HypeLinks-API","https://api.github.com/repos/iamyajat/HypeLinks-API","2021-10-19T07:00:20Z"
"WatchEvent","iamyajat",269672864,"yash-moon/frosted_app_bar","https://api.github.com/repos/yash-moon/frosted_app_bar","2021-10-19T06:59:02Z"
"PushEvent","iamyajat",418432193,"iamyajat/thinker","https://api.github.com/repos/iamyajat/thinker","2021-10-19T06:57:41Z"
"PushEvent","iamyajat",357531038,"iamyajat/HypeLinks-API","https://api.github.com/repos/iamyajat/HypeLinks-API","2021-10-18T19:25:21Z"
"PullRequestEvent","iamyajat",357531038,"iamyajat/HypeLinks-API","https://api.github.com/repos/iamyajat/HypeLinks-API","2021-10-18T19:25:20Z"
"IssuesEvent","iamyajat",357531038,"iamyajat/HypeLinks-API","https://api.github.com/repos/iamyajat/HypeLinks-API","2021-10-18T19:25:20Z"
"PullRequestReviewEvent","iamyajat",357531038,"iamyajat/HypeLinks-API","https://api.github.com/repos/iamyajat/HypeLinks-API","2021-10-18T19:25:01Z"
"WatchEvent","iamyajat",418390382,"GDGVIT/thinker","https://api.github.com/repos/GDGVIT/thinker","2021-10-18T09:56:18Z"
"PushEvent","iamyajat",418432193,"iamyajat/thinker","https://api.github.com/repos/iamyajat/thinker","2021-10-18T09:48:57Z"
"CreateEvent","iamyajat",418432193,"iamyajat/thinker","https://api.github.com/repos/iamyajat/thinker","2021-10-18T09:40:39Z"
"ForkEvent","iamyajat",418390382,"GDGVIT/thinker","https://api.github.com/repos/GDGVIT/thinker","2021-10-18T09:31:12Z"
"PushEvent","iamyajat",418086836,"iamyajat/auto-grader","https://api.github.com/repos/iamyajat/auto-grader","2021-10-17T17:06:42Z"
"IssueCommentEvent","iamyajat",357531038,"iamyajat/HypeLinks-API","https://api.github.com/repos/iamyajat/HypeLinks-API","2021-10-17T17:03:33Z"
"IssueCommentEvent","iamyajat",385965767,"IEEE-VIT/auto-grader","https://api.github.com/repos/IEEE-VIT/auto-grader","2021-10-17T10:50:48Z"
"PushEvent","iamyajat",385965767,"IEEE-VIT/auto-grader","https://api.github.com/repos/IEEE-VIT/auto-grader","2021-10-17T10:49:06Z"
"PullRequestEvent","iamyajat",385965767,"IEEE-VIT/auto-grader","https://api.github.com/repos/IEEE-VIT/auto-grader","2021-10-17T10:49:05Z"
"IssuesEvent","iamyajat",385965767,"IEEE-VIT/auto-grader","https://api.github.com/repos/IEEE-VIT/auto-grader","2021-10-17T10:49:05Z"
"PullRequestEvent","iamyajat",385965767,"IEEE-VIT/auto-grader","https://api.github.com/repos/IEEE-VIT/auto-grader","2021-10-17T10:47:51Z"
"IssuesEvent","iamyajat",385965767,"IEEE-VIT/auto-grader","https://api.github.com/repos/IEEE-VIT/auto-grader","2021-10-17T10:45:16Z"
"PushEvent","iamyajat",418086836,"iamyajat/auto-grader","https://api.github.com/repos/iamyajat/auto-grader","2021-10-17T10:44:26Z"
"PushEvent","iamyajat",418086836,"iamyajat/auto-grader","https://api.github.com/repos/iamyajat/auto-grader","2021-10-17T10:10:19Z"
"ForkEvent","iamyajat",385965767,"IEEE-VIT/auto-grader","https://api.github.com/repos/IEEE-VIT/auto-grader","2021-10-17T10:02:51Z"
